                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 1.1238,                0.83887,                 1.0851,                0.77262,                 0.8233,                0.81849,                0.48052,                 1.3069,                 0.8164,                 1.1237,             0.00044402,             0.00044402,             0.00044402
                    119,                 1.1201,                0.82479,                 1.0742,                0.82831,                0.80551,                 0.8342,                0.51276,                 1.2928,                0.81662,                 1.1055,             0.00044247,             0.00044247,             0.00044247
                    120,                 1.1223,                0.80131,                 1.0704,                0.78074,                0.81287,                0.83389,                0.49221,                 1.3031,                0.80436,                 1.1183,             0.00044092,             0.00044092,             0.00044092
                    121,                 1.1359,                0.82229,                 1.0794,                0.86491,                0.74442,                0.85123,                0.49802,                 1.3503,                 0.8506,                 1.1313,             0.00043937,             0.00043937,             0.00043937
                    122,                 1.1091,                0.81209,                 1.0745,                 0.8228,                0.78393,                0.85056,                0.49895,                 1.3349,                0.81623,                 1.1285,             0.00043783,             0.00043783,             0.00043783
                    123,                 1.0994,                0.80869,                 1.0742,                0.82656,                0.73606,                 0.8069,                 0.4999,                 1.3174,                 0.8441,                 1.1305,             0.00043628,             0.00043628,             0.00043628
                    124,                 1.1327,                0.81117,                 1.0709,                0.78838,                0.70505,                0.78226,                0.46161,                 1.3946,                 0.9094,                 1.1485,             0.00043473,             0.00043473,             0.00043473
                    125,                 1.1276,                0.79452,                 1.0846,                0.87296,                0.75492,                0.82954,                0.51396,                 1.3159,                0.80889,                 1.1188,             0.00043319,             0.00043319,             0.00043319
                    126,                 1.0874,                0.79992,                 1.0663,                0.80473,                  0.789,                0.84365,                0.50118,                 1.3122,                0.79646,                 1.1198,             0.00043164,             0.00043164,             0.00043164
                    127,                 1.1225,                0.81108,                 1.0769,                0.83476,                 0.7531,                0.82413,                0.50363,                 1.2736,                0.79409,                 1.1274,             0.00043009,             0.00043009,             0.00043009
                    128,                 1.0977,                0.79776,                  1.063,                 0.7752,                0.79525,                0.82415,                0.50664,                  1.281,                 0.8131,                 1.1079,             0.00042855,             0.00042855,             0.00042855
                    129,                 1.1243,                0.80362,                 1.0712,                 0.8245,                0.77957,                0.83354,                0.49719,                 1.3008,                0.85472,                 1.1243,               0.000427,               0.000427,               0.000427
                    130,                 1.0984,                0.79851,                 1.0655,                0.87443,                0.78982,                0.85374,                0.51763,                 1.2693,                0.79475,                 1.1026,             0.00042545,             0.00042545,             0.00042545
                    131,                 1.0971,                0.78647,                 1.0577,                0.82799,                0.78509,                0.84719,                0.51208,                 1.2619,                0.79842,                 1.1261,             0.00042391,             0.00042391,             0.00042391
                    132,                 1.0857,                0.76556,                 1.0601,                0.80264,                0.81721,                0.85514,                0.51502,                 1.2887,                0.78304,                 1.1068,             0.00042236,             0.00042236,             0.00042236
                    133,                 1.0664,                0.77697,                 1.0462,                0.83214,                0.81228,                 0.8515,                0.52484,                 1.2802,                 0.7955,                 1.1021,             0.00042081,             0.00042081,             0.00042081
                    134,                 1.0908,                0.77364,                 1.0554,                0.78013,                0.82624,                 0.8416,                0.52092,                 1.2604,                0.78806,                 1.1004,             0.00041927,             0.00041927,             0.00041927
                    135,                 1.0997,                0.79257,                 1.0515,                0.73413,                0.69879,                0.78316,                0.46664,                 1.2969,                0.96587,                 1.1354,             0.00041772,             0.00041772,             0.00041772
                    136,                 1.0837,                0.76177,                 1.0479,                0.86389,                0.80368,                0.83762,                0.49614,                  1.313,                0.81291,                 1.1292,             0.00041617,             0.00041617,             0.00041617
                    137,                 1.0835,                0.76626,                 1.0495,                0.83403,                0.81879,                0.84325,                0.50448,                 1.2892,                0.79269,                 1.1091,             0.00041462,             0.00041462,             0.00041462
                    138,                 1.0866,                0.77718,                 1.0552,                0.85291,                0.81418,                0.86201,                0.51657,                 1.2794,                0.74987,                 1.1059,             0.00041308,             0.00041308,             0.00041308
                    139,                 1.0572,                0.75523,                 1.0408,                 0.7721,                0.81407,                0.83785,                0.49927,                  1.314,                 0.8215,                 1.1232,             0.00041153,             0.00041153,             0.00041153
                    140,                 1.0897,                0.78065,                 1.0527,                0.87465,                0.78396,                0.85655,                0.51513,                 1.2848,                0.81011,                 1.0952,             0.00040998,             0.00040998,             0.00040998
                    141,                 1.0581,                0.74073,                 1.0307,                0.86718,                0.81051,                0.86159,                0.54677,                 1.2474,                0.76721,                 1.0818,             0.00040844,             0.00040844,             0.00040844
                    142,                 1.0851,                0.77571,                 1.0456,                0.81844,                0.82967,                0.84554,                0.51833,                 1.2768,                0.78756,                 1.0967,             0.00040689,             0.00040689,             0.00040689
                    143,                 1.0963,                0.79408,                 1.0599,                0.84062,                0.74121,                0.82233,                0.50204,                 1.3035,                0.82603,                 1.1207,             0.00040534,             0.00040534,             0.00040534
                    144,                 1.0673,                0.75712,                 1.0563,                0.87987,                0.79774,                0.85915,                0.51967,                 1.2704,                 0.7639,                 1.1078,              0.0004038,              0.0004038,              0.0004038
                    145,                 1.0919,                0.77027,                 1.0654,                0.81135,                0.81472,                0.84471,                0.52279,                 1.2696,                0.76223,                 1.0865,             0.00040225,             0.00040225,             0.00040225
                    146,                 1.0712,                0.74479,                 1.0378,                0.84077,                0.80152,                0.84377,                0.51889,                 1.2693,                0.76197,                 1.0862,              0.0004007,              0.0004007,              0.0004007
